,model,animal,accuracy
263,top_model_weights_no_3d,bear,0.485
264,top_model_weights_no_3d,bear,0.615
265,top_model_weights_no_3d,bear,0.505
266,top_model_weights_no_3d,bear,0.555
267,top_model_weights_no_3d,bear,0.58
268,top_model_weights_no_3d,bear,0.6
269,top_model_weights_no_3d,bear,0.52
270,top_model_weights_no_3d,bear,0.49
271,top_model_weights_no_3d,bear,0.53
272,top_model_weights_no_3d,bear,0.51
273,top_model_weights_no_3d,bear,0.52
274,top_model_weights_no_3d,bear,0.515
275,top_model_weights_no_3d,bear,0.555
276,top_model_weights_no_3d,bear,0.485
277,top_model_weights_no_3d,bear,0.555
278,top_model_weights_no_3d,bear,0.55
279,top_model_weights_no_3d,bear,0.445
280,top_model_weights_no_3d,bear,0.505
281,top_model_weights_no_3d,bear,0.545
282,top_model_weights_no_3d,bear,0.505
283,top_model_weights_no_3d,bear,0.56
284,top_model_weights_no_3d,bear,0.53
285,top_model_weights_no_3d,bear,0.525
286,top_model_weights_no_3d,bear,0.505
287,top_model_weights_no_3d,bear,0.545
288,top_model_weights_no_3d,bear,0.535
289,top_model_weights_no_3d,bear,0.535
290,top_model_weights_no_3d,bear,0.47
291,top_model_weights_no_3d,bear,0.545
292,top_model_weights_no_3d,bear,0.56
293,top_model_weights_no_3d,bear,0.555
294,top_model_weights_no_3d,bear,0.485
295,top_model_weights_no_3d,bear,0.5
296,top_model_weights_no_3d,bear,0.5
297,top_model_weights_no_3d,bear,0.545
298,top_model_weights_no_3d,bear,0.53
299,top_model_weights_no_3d,bear,0.565
300,top_model_weights_no_3d,bear,0.56
301,top_model_weights_no_3d,bear,0.52
302,top_model_weights_no_3d,bear,0.535
303,top_model_weights_no_3d,bear,0.56
304,top_model_weights_no_3d,bear,0.545
305,top_model_weights_no_3d,bear,0.52
306,top_model_weights_no_3d,bear,0.58
307,top_model_weights_no_3d,bear,0.51
308,top_model_weights_no_3d,bear,0.54
309,top_model_weights_no_3d,bear,0.53
310,top_model_weights_no_3d,bear,0.505
311,top_model_weights_no_3d,bear,0.515
312,top_model_weights_no_3d,bear,0.565
313,top_model_weights_no_3d,bear,0.455
314,top_model_weights_no_3d,bear,0.535
315,top_model_weights_no_3d,bear,0.585
316,top_model_weights_no_3d,bear,0.51
317,top_model_weights_no_3d,bear,0.545
318,top_model_weights_no_3d,bear,0.52
319,top_model_weights_no_3d,bear,0.555
320,top_model_weights_no_3d,bear,0.52
321,top_model_weights_no_3d,bear,0.51
322,top_model_weights_no_3d,bear,0.555
323,top_model_weights_no_3d,bear,0.52
324,top_model_weights_no_3d,bear,0.54
325,top_model_weights_no_3d,bear,0.515
326,top_model_weights_no_3d,bear,0.555
327,top_model_weights_no_3d,bear,0.485
328,top_model_weights_no_3d,bear,0.59
329,top_model_weights_no_3d,bear,0.56
330,top_model_weights_no_3d,bear,0.51
331,top_model_weights_no_3d,bear,0.565
332,top_model_weights_no_3d,bear,0.57
333,top_model_weights_no_3d,bear,0.545
334,top_model_weights_no_3d,bear,0.605
335,top_model_weights_no_3d,bear,0.485
336,top_model_weights_no_3d,bear,0.56
337,top_model_weights_no_3d,bear,0.545
338,top_model_weights_no_3d,bear,0.535
339,top_model_weights_no_3d,bear,0.51
340,top_model_weights_no_3d,bear,0.545
341,top_model_weights_no_3d,bear,0.515
342,top_model_weights_no_3d,bear,0.555
343,top_model_weights_no_3d,bear,0.505
344,top_model_weights_no_3d,bear,0.525
345,top_model_weights_no_3d,bear,0.58
346,top_model_weights_no_3d,bear,0.505
347,top_model_weights_no_3d,bear,0.54
348,top_model_weights_no_3d,bear,0.56
349,top_model_weights_no_3d,bear,0.575
350,top_model_weights_no_3d,bear,0.55
351,top_model_weights_no_3d,bear,0.59
352,top_model_weights_no_3d,bear,0.56
353,top_model_weights_no_3d,bear,0.525
354,top_model_weights_no_3d,bear,0.515
355,top_model_weights_no_3d,bear,0.54
356,top_model_weights_no_3d,bear,0.52
357,top_model_weights_no_3d,bear,0.555
358,top_model_weights_no_3d,bear,0.59
359,top_model_weights_no_3d,bear,0.525
360,top_model_weights_no_3d,bear,0.555
361,top_model_weights_no_3d,bear,0.465
362,top_model_weights_no_3d,bear,0.495
363,top_model_weights_no_3d,bear,0.545
364,top_model_weights_no_3d,bear,0.54
365,top_model_weights_no_3d,bear,0.515
366,top_model_weights_no_3d,bear,0.49
367,top_model_weights_no_3d,bear,0.57
368,top_model_weights_no_3d,bear,0.58
369,top_model_weights_no_3d,bear,0.555
370,top_model_weights_no_3d,bear,0.545
371,top_model_weights_no_3d,bear,0.505
372,top_model_weights_no_3d,bear,0.55
373,top_model_weights_no_3d,bear,0.57
374,top_model_weights_no_3d,bear,0.495
375,top_model_weights_no_3d,bear,0.48
376,top_model_weights_no_3d,bear,0.565
377,top_model_weights_no_3d,bear,0.515
378,top_model_weights_no_3d,bear,0.56
379,top_model_weights_no_3d,bear,0.53
380,top_model_weights_no_3d,bear,0.56
381,top_model_weights_no_3d,bear,0.58
382,top_model_weights_no_3d,bear,0.595
383,top_model_weights_no_3d,bear,0.49
384,top_model_weights_no_3d,bear,0.54
385,top_model_weights_no_3d,bear,0.51
386,top_model_weights_no_3d,bear,0.595
387,top_model_weights_no_3d,bear,0.48
388,top_model_weights_no_3d,bear,0.55
389,top_model_weights_no_3d,bear,0.48
390,top_model_weights_no_3d,bear,0.55
391,top_model_weights_no_3d,bear,0.555
392,top_model_weights_no_3d,bear,0.61
393,top_model_weights_no_3d,bear,0.545
394,top_model_weights_no_3d,bear,0.51
395,top_model_weights_no_3d,bear,0.535
396,top_model_weights_no_3d,bear,0.525
397,top_model_weights_no_3d,bear,0.61
398,top_model_weights_no_3d,bear,0.535
399,top_model_weights_no_3d,bear,0.48
400,top_model_weights_no_3d,bear,0.565
401,top_model_weights_no_3d,bear,0.555
402,top_model_weights_no_3d,bear,0.57
403,top_model_weights_no_3d,bear,0.54
404,top_model_weights_no_3d,bear,0.48
405,top_model_weights_no_3d,bear,0.505
406,top_model_weights_no_3d,bear,0.48
407,top_model_weights_no_3d,bear,0.635
408,top_model_weights_no_3d,bear,0.49
409,top_model_weights_no_3d,bear,0.475
410,top_model_weights_no_3d,bear,0.53
411,top_model_weights_no_3d,bear,0.495
412,top_model_weights_no_3d,bear,0.52
413,top_model_weights_no_3d,bear,0.54
414,top_model_weights_no_3d,bear,0.515
415,top_model_weights_no_3d,bear,0.505
416,top_model_weights_no_3d,bear,0.58
417,top_model_weights_no_3d,bear,0.585
418,top_model_weights_no_3d,bear,0.525
419,top_model_weights_no_3d,bear,0.565
420,top_model_weights_no_3d,bear,0.53
421,top_model_weights_no_3d,bear,0.59
422,top_model_weights_no_3d,bear,0.57
423,top_model_weights_no_3d,bear,0.52
424,top_model_weights_no_3d,bear,0.6
425,top_model_weights_no_3d,bear,0.6
426,top_model_weights_no_3d,bear,0.535
427,top_model_weights_no_3d,bear,0.585
428,top_model_weights_no_3d,bear,0.495
429,top_model_weights_no_3d,bear,0.575
430,top_model_weights_no_3d,bear,0.46
431,top_model_weights_no_3d,bear,0.555
432,top_model_weights_no_3d,bear,0.575
433,top_model_weights_no_3d,bear,0.485
434,top_model_weights_no_3d,bear,0.455
435,top_model_weights_no_3d,bear,0.585
436,top_model_weights_no_3d,bear,0.51
437,top_model_weights_no_3d,bear,0.505
438,top_model_weights_no_3d,bear,0.56
439,top_model_weights_no_3d,bear,0.56
440,top_model_weights_no_3d,bear,0.545
441,top_model_weights_no_3d,bear,0.5
442,top_model_weights_no_3d,bear,0.545
443,top_model_weights_no_3d,bear,0.485
444,top_model_weights_no_3d,bear,0.535
445,top_model_weights_no_3d,bear,0.55
446,top_model_weights_no_3d,bear,0.495
447,top_model_weights_no_3d,bear,0.5
448,top_model_weights_no_3d,bear,0.51
449,top_model_weights_no_3d,bear,0.565
450,top_model_weights_no_3d,bear,0.515
451,top_model_weights_no_3d,bear,0.525
452,top_model_weights_no_3d,bear,0.51
453,top_model_weights_no_3d,bear,0.615
454,top_model_weights_no_3d,bear,0.565
455,top_model_weights_no_3d,bear,0.545
456,top_model_weights_no_3d,bear,0.595
457,top_model_weights_no_3d,bear,0.545
458,top_model_weights_no_3d,bear,0.54
459,top_model_weights_no_3d,bear,0.505
460,top_model_weights_no_3d,bear,0.535
461,top_model_weights_no_3d,bear,0.515
462,top_model_weights_no_3d,bear,0.605
463,top_model_weights_no_3d,bear,0.565
464,top_model_weights_no_3d,bear,0.545
465,top_model_weights_no_3d,bear,0.585
466,top_model_weights_no_3d,bear,0.49
467,top_model_weights_no_3d,bear,0.485
468,top_model_weights_no_3d,bear,0.55
469,top_model_weights_no_3d,bear,0.545
470,top_model_weights_no_3d,bear,0.555
471,top_model_weights_no_3d,bear,0.51
472,top_model_weights_no_3d,bear,0.555
473,top_model_weights_no_3d,bear,0.48
474,top_model_weights_no_3d,bear,0.535
475,top_model_weights_no_3d,bear,0.51
476,top_model_weights_no_3d,bear,0.62
477,top_model_weights_no_3d,bear,0.56
478,top_model_weights_no_3d,bear,0.535
479,top_model_weights_no_3d,bear,0.6
480,top_model_weights_no_3d,bear,0.545
481,top_model_weights_no_3d,bear,0.55
482,top_model_weights_no_3d,bear,0.5
483,top_model_weights_no_3d,bear,0.57
484,top_model_weights_no_3d,bear,0.5
485,top_model_weights_no_3d,bear,0.56
486,top_model_weights_no_3d,bear,0.575
487,top_model_weights_no_3d,bear,0.525
488,top_model_weights_no_3d,bear,0.545
489,top_model_weights_no_3d,bear,0.55
490,top_model_weights_no_3d,bear,0.55
491,top_model_weights_no_3d,bear,0.62
492,top_model_weights_no_3d,bear,0.52
493,top_model_weights_no_3d,bear,0.54
494,top_model_weights_no_3d,bear,0.555
495,top_model_weights_no_3d,bear,0.5
496,top_model_weights_no_3d,bear,0.595
497,top_model_weights_no_3d,bear,0.5
498,top_model_weights_no_3d,bear,0.565
499,top_model_weights_no_3d,bear,0.505
